local_authority,level_two,crime,black,bad_very_bad,flat_hmo,five_plus,single,single_parent,smoking,unemployed,inactive,children,adult_under_thirty,sixtyfive_plus,stock
"Kingston upon Hull, City of",50.7,35307,1.9,7.7,13.7,6.5,34.2,9.1,18.5,4.8,40.1,24.6,22.7,15.4,9591
East Riding of Yorkshire,42.3,19486,0.3,4.6,7.7,4.2,30,5.2,10,2.3,43.5,19.7,14.4,26.3,3907
North East Lincolnshire,52.5,19013,0.5,6.3,10,5,32.5,8.6,17.1,3.3,42.7,23,17.6,21,9527
North Lincolnshire,48.6,14332,0.5,5.7,7.9,5.8,29.2,6.5,13.5,3,42.3,21.9,16.8,22,11605
York,32.1,14761,0.7,4.3,15.7,4.8,31.2,5.3,8.3,2.9,41.2,21.7,22.7,19.1,5193
North Yorkshire,39.3,32631,0.4,4.1,10.6,4.3,30.9,5.1,10,2,41.1,20.3,14.9,25,26702
Barnsley,50.5,26050,0.7,7.5,6.9,4.7,30.8,7.8,14.4,2.9,41.2,22.3,18.6,19.4,4141
Doncaster,51.1,40886,1.2,6.9,7.7,5.4,31.2,7.9,15.7,3.4,41.7,22.6,19,19.4,4959
Rotherham,50.4,25858,1.1,7,9.3,5.9,30,7.6,14,3.2,42.2,23.1,18.3,19.6,5109
Sheffield,40.2,60207,4.6,6.6,19.3,6.9,32.7,7.2,11.1,4,43,23.7,23.4,17.1,17921
Bradford,48.5,70619,2,6.8,13.2,12.6,30.8,9,13.9,4.3,43.2,28.3,19.4,15.1,31524
Calderdale,43,24587,0.7,5.7,11.9,6.4,33.5,8.3,11.9,3.2,40.7,23.7,17,19.1,14092
Kirklees,43.8,43998,2.3,5.9,10.8,8.4,31,7.6,12.5,3.5,41.6,25,18.7,17.7,6191
Leeds,39.3,106080,5.6,5.7,20.2,6.7,32.6,7.6,11.8,4.1,39.1,24.2,23.7,15.6,18534
Wakefield,50.1,44094,1.3,6.7,9.9,5.3,30.3,7.3,13.7,3,39.8,22.6,19,18.7,35168
Derby,43.6,29894,4,6.4,13.7,8.7,31.3,7.4,12.7,3.9,40.6,25.1,21.2,16.3,8151
Leicester,49.1,45730,7.8,6.8,20.8,15.2,27.6,7.7,12.3,5.1,41.7,27.5,24.7,11.9,10857
Rutland,37.1,1705,1.3,3.2,6.4,4.6,28.7,4.3,7.8,1.9,43.4,21.7,15,25.3,1826
Nottingham,39.5,39927,10,8,21.4,9.7,33.6,9.2,16.1,5.3,45.9,27,28.5,11.7,10449
North Northamptonshire,47.2,26905,3.1,5.1,10,6.5,27.3,7,13.1,2.7,35.5,23.8,18,18.1,16552
West Northamptonshire,42.6,32898,4.9,4.4,12,7,26.9,6.6,11,3,34.1,23.7,19.3,17.1,14977
Amber Valley,44.4,8905,0.3,5.2,5.4,4.2,30.5,6.1,12.5,2.3,40.4,20.5,16.5,22.6,7478
Bolsover,51,6198,0.5,7.6,4.9,4.8,29.9,6.2,13.8,2.3,40.2,21.2,18.5,20.2,1199
Chesterfield,46.3,10832,0.8,6.9,11.3,4.2,35.5,6.7,12.6,2.7,42,20.6,17.7,21.5,1622
Derbyshire Dales,37.7,3607,0.2,3.8,7.1,4.1,30.6,4.1,8,1.9,43.7,18.5,12.5,27.9,4247
Erewash,46,9507,0.8,5.5,6.8,4.4,30.9,6.3,12.3,2.7,38.5,21.1,18,20.8,6803
High Peak,38,5828,0.2,4.6,9.5,4.4,31.7,6.1,13.8,2.5,38.6,20.7,15.8,21.8,1567
North East Derbyshire,45.2,5780,0.3,5.9,5.8,4.1,31.1,5.7,7.9,2.2,43.2,20.1,15.6,24.8,1251
South Derbyshire,40.7,6566,0.8,4.7,5.2,5.3,27.1,6.3,12.5,2.3,35.7,22.9,17.9,18.6,2382
Blaby,41.5,6865,1.5,4.1,5.3,5.9,26.1,5.9,9.5,2.5,36,22.7,17.3,20.4,3902
Charnwood,37.3,13761,1.5,4.4,9.6,6.2,28.3,5.7,9.4,2.9,41.8,23.3,21.1,18.9,4293
Harborough,36.6,4774,0.7,3.4,6,5.9,26,5.1,8.7,1.9,37.4,21.8,15.1,22,3897
Hinckley and Bosworth,43.5,7467,0.6,4.5,7.3,4.6,28.3,5.7,8.1,2.2,38.3,21.2,16.5,22.4,2585
Melton,41.1,3299,0.4,3.7,6,4.8,28.2,5.5,8.7,2.1,38.6,20.9,14.9,23.5,931
North West Leicestershire,42.4,7927,0.6,4.8,5.5,5.2,27.8,5.8,9.3,2.4,37.3,21.8,17.9,20.1,2540
Oadby and Wigston,41.1,3857,2.2,4.6,7.5,8.2,28.1,6.1,9.3,3.1,41.9,24.4,16.6,21.3,805
Boston,54.7,5849,0.7,5.7,10.5,6.6,27.5,7.4,16.1,2.9,38.8,22.5,17.9,20.4,6009
East Lindsey,51.9,10697,0.2,6.8,7.3,4.5,30.6,5.2,13.7,2.9,51.3,18.2,13.6,30.5,7761
Lincoln,39.9,13529,1.4,6.5,18.3,6.2,33.3,7.6,15.2,4.4,41.9,23.7,28.2,14.6,1990
North Kesteven,41,5004,0.4,4.4,3.5,4.6,27.4,5.4,9.9,2.2,39.8,20.9,16.3,23.4,1614
South Holland,52.8,5276,0.5,5.2,4.1,5.7,27.1,5.5,18.9,2.5,40.2,20.7,16.4,23.8,1492
South Kesteven,42.6,8013,0.6,4.4,7.6,4.7,29,6.2,9.8,2.5,39.7,21.7,15.1,23.2,2441
